                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.1718,                 1.0054,                 1.2733,                0.64412,                0.72211,                0.73014,                0.39379,                 1.5341,                  1.292,                 1.4688,             0.00019564,             0.00019564,             0.00019564
                    127,                 1.1445,                0.99792,                 1.2424,                0.66067,                0.68845,                0.72645,                0.40401,                 1.5272,                 1.2378,                 1.4865,             0.00019454,             0.00019454,             0.00019454
                    128,                  1.141,                0.98578,                 1.2563,                 0.6363,                0.75122,                0.73018,                0.40045,                 1.5542,                 1.2754,                 1.5144,             0.00019344,             0.00019344,             0.00019344
                    129,                 1.1332,                0.96929,                  1.238,                0.69619,                0.64995,                0.73274,                0.41598,                 1.5176,                 1.2841,                 1.5053,             0.00019234,             0.00019234,             0.00019234
                    130,                 1.1377,                0.97379,                 1.2461,                 0.6526,                0.72006,                 0.7404,                0.40102,                 1.5837,                 1.2991,                 1.5377,             0.00019124,             0.00019124,             0.00019124
                    131,                 1.1484,                0.99893,                 1.2337,                0.67761,                0.67298,                0.72389,                0.39754,                 1.5455,                 1.2794,                 1.5088,             0.00019014,             0.00019014,             0.00019014
                    132,                 1.1262,                0.95831,                 1.2295,                0.63428,                0.72494,                0.74509,                0.41552,                 1.5523,                 1.2224,                 1.4948,             0.00018904,             0.00018904,             0.00018904
                    133,                  1.144,                0.96293,                 1.2188,                0.66467,                0.68133,                0.72747,                0.40051,                 1.5771,                 1.2812,                 1.5289,             0.00018795,             0.00018795,             0.00018795
                    134,                 1.1456,                0.97866,                 1.2398,                 0.6326,                0.77114,                0.73625,                0.40845,                 1.5494,                 1.3229,                 1.4904,             0.00018685,             0.00018685,             0.00018685
                    135,                 1.1314,                0.99823,                 1.2286,                0.70621,                0.69258,                0.75702,                 0.4428,                  1.468,                 1.2414,                  1.437,             0.00018575,             0.00018575,             0.00018575
                    136,                 1.1162,                0.94503,                 1.2312,                0.70177,                0.66836,                0.73866,                0.42915,                 1.5071,                 1.2432,                 1.4812,             0.00018465,             0.00018465,             0.00018465
                    137,                 1.1165,                0.94817,                 1.2237,                 0.6768,                  0.689,                0.72258,                0.40098,                 1.5755,                 1.2354,                 1.5124,             0.00018355,             0.00018355,             0.00018355
                    138,                  1.097,                0.93928,                 1.2188,                0.63596,                0.72673,                0.73219,                0.40128,                  1.588,                 1.2497,                 1.5281,             0.00018245,             0.00018245,             0.00018245
                    139,                 1.1163,                0.93338,                 1.2277,                0.66414,                 0.7673,                0.76458,                0.41761,                 1.5382,                  1.237,                 1.5017,             0.00018135,             0.00018135,             0.00018135
                    140,                 1.1238,                0.96829,                 1.2274,                0.66064,                0.75505,                0.74594,                0.40581,                 1.6082,                  1.224,                 1.5628,             0.00018025,             0.00018025,             0.00018025
                    141,                 1.1225,                0.95028,                 1.2302,                0.73111,                0.67646,                0.76589,                0.41293,                 1.6656,                  1.216,                 1.5909,             0.00017915,             0.00017915,             0.00017915
                    142,                 1.1323,                0.96649,                 1.2434,                0.64585,                0.72109,                 0.7424,                0.43049,                 1.5004,                 1.2421,                 1.4645,             0.00017806,             0.00017806,             0.00017806
                    143,                 1.1353,                0.95631,                 1.2474,                 0.7235,                0.67859,                0.74138,                 0.4244,                 1.5278,                 1.2765,                 1.5016,             0.00017696,             0.00017696,             0.00017696
                    144,                 1.1178,                0.94126,                 1.2268,                0.76983,                0.66348,                0.76378,                0.42903,                 1.5797,                   1.23,                 1.5396,             0.00017586,             0.00017586,             0.00017586
                    145,                 1.1178,                 0.9568,                 1.2244,                0.66267,                0.70097,                 0.7552,                0.41498,                 1.5435,                 1.2459,                 1.4806,             0.00017476,             0.00017476,             0.00017476
                    146,                 1.0855,                0.92852,                 1.2166,                0.65732,                0.70366,                0.73943,                0.41651,                 1.5273,                 1.2439,                 1.4847,             0.00017366,             0.00017366,             0.00017366
                    147,                 1.1204,                0.93164,                 1.2295,                0.67784,                0.68073,                0.75418,                0.41436,                 1.5502,                 1.2034,                 1.5047,             0.00017256,             0.00017256,             0.00017256
                    148,                 1.1007,                0.89676,                 1.2104,                0.67283,                0.72829,                0.76643,                0.43384,                 1.5718,                 1.2034,                 1.5255,             0.00017146,             0.00017146,             0.00017146
